Skills,SkillsValues
â€¢2-5,2
â€¢demonstrated,1
deliver,17
inception,6
impeccable,4
â€¢exceptional,1
â€¢outstanding,1
enterprising,4
self-starter,18
thrive,27
high-performance,10
â€¢integrity,1
credibility,12
beverage,1
hospitality,1
advisory,5
mastery,4
stateâ€™s,3
economics,3
statistics,5
energy,1
efficiency,15
stakeholder,12
groups,103
eit,1
preffered,1
respond,20
emergencies,8
â€¢3-5,2
consulting,1
comfort,3
models,29
sets,36
â€¢able,1
look,17
big,28
picture,19
insightful,19
among,27
opportunities,26
â€¢enterprising,1
â€¢energetic,1
pro-active,16
collaborative,4
team-player,6
enjoys,4
multi-stakeholder,2
economic,41
looking,13
professionalism,17
come,7
expect,5
combines,9
crowds,1
open,7
ecosystem,3
cities,1
advocates,5
"â€¢	independent",1
spontaneous,1
outages,1
discrepancies,1
eliciting,1
documenting,13
leading,39
"1.	strong",1
affordable,22
"2.	familiarity",1
hpd,1
hdc,1
hfa,1
hcr,1
"3.	knowledge",1
"4.	an",1
verbally,41
literate,8
typical,4
e.g,33
cost/cash,2
flow,11
"5.	demonstrated",1
competencies,3
"1.	project",1
comprised,8
departments,6
remaining,4
"2.	attention",1
vigilance,2
"3.	problem",1
actions,10
mitigate,4
"4.	collaborating",1
"5.	communicating",1
skilled,3
presenter,2
sdn,1
dc,1
switching,3
fabricpath,1
vpc,1
load-balancing,1
vpn,1
optical,3
"â€¢	broad",1
internetworking,2
designation,2
"â€¢	global",1
roadmaps,3
1pv4/6,1
"bgp,isis",1
hardware/os,1
72xx,2
65xx,2
37xx,2
3-Feb,2
ace,1
gss,1
